Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y,pred_b,pred
390.316,343.1880000000001,324.905,405.782,311.732,403.334,301.18,531.5169999999998,371.891,617.818,343.204,405.839,0.0,0.0,0.0,0.0,345.8590000000001,656.9739999999998,343.025,657.039,340.5490000000001,808.669,316.997,955.211,361.451,656.959,348.38,803.492,330.077,955.195,387.484,327.401,0.0,0.0,353.6,330.089,0.0,0.0,0.0,0.0,0.0,0.0,330.05,955.241,0.0,0.0,0.0,0.0,319.533,955.236,0.022996992,0
267.284,322.1020000000001,259.47900000000004,408.465,199.345,408.639,199.221,531.475,180.935,651.805,316.994,405.944,340.487,528.7719999999998,358.816,636.059,277.797,638.693,238.58900000000003,641.28,256.718,819.194,262.14,955.248,316.943,636.099,324.85,806.1139999999998,343.225,955.248,251.605,303.953,280.21,303.842,220.11900000000003,322.16,0.0,0.0,337.912,955.284,356.24,955.301,345.667,955.266,259.445,955.264,262.025,955.285,267.338,955.268,0.10794321,3
333.54,270.78,274.735,335.434,235.567,335.4840000000001,214.014,417.788,300.207,411.859,313.926,335.414,300.222,398.213,335.457,400.084,272.802,505.944,243.465,505.973,257.11,621.555,247.355,715.6389999999999,300.22,504.023,286.555,619.591,263.009,715.622,319.898,257.112,333.4980000000001,257.139,280.657,262.998,0.0,0.0,0.0,0.0,0.0,0.0,259.144,715.643,0.0,0.0,0.0,0.0,245.402,715.643,0.5685968,5
387.587,327.524,364.095,418.937,309.1090000000001,413.747,298.598,531.544,280.398,641.394,416.354,424.128,429.476,536.639,450.425,649.118,369.333,646.5369999999998,335.297,646.565,309.111,806.095,277.766,955.228,408.537,646.544,408.505,806.178,403.285,955.234,371.931,319.583,395.414,322.069,343.107,324.835,0.0,0.0,0.0,0.0,0.0,0.0,400.676,955.25,267.319,955.252,0.0,0.0,277.726,955.261,0.16130868,3
322.145,335.332,293.407,416.364,238.539,413.727,222.781,534.056,298.61,596.812,345.714,418.97,361.432,534.045,303.971,635.997,301.323,643.948,262.036,646.554,280.298,805.988,288.225,955.2,340.5680000000001,641.37,353.605,800.826,366.602,955.222,303.797,324.757,322.123,322.12,264.633,340.548,0.0,0.0,361.472,955.256,382.358,955.266,364.151,955.247,283.065,955.25,280.37,955.258,296.094,955.241,0.0013072789,5
1143.59,353.612,1093.7,432.17,1054.54,429.437,1012.56,536.748,1078.08,560.211,1125.2,445.045,1120.09,554.975,1182.72,617.784,1104.3,672.658,1078.02,675.278,1075.48,842.6569999999998,1054.52,955.271,1138.16,670.047,1146.11,827.043,1133.03,955.26,1132.98,343.11800000000005,1141.04,343.09,1088.59,353.635,0.0,0.0,0.0,0.0,0.0,0.0,1133.05,955.28,0.0,0.0,0.0,0.0,0.0,0.0,0.9253798,6
296.097,324.783,256.823,408.637,196.693,408.461,175.62900000000005,513.129,193.96400000000003,541.87,309.198,413.751,322.329,515.761,322.274,552.293,264.702,646.545,225.503,654.317,241.121,821.823,254.161,955.252,303.983,641.308,335.3180000000001,806.1239999999998,348.427,955.215,280.27,309.143,298.571,309.138,238.488,324.737,0.0,0.0,345.745,955.263,366.711,955.261,345.845,955.243,248.993,955.285,254.206,955.299,256.855,955.27,0.9631084,2
999.623,395.476,1018.01,432.102,963.026,405.943,923.833,505.287,905.498,581.177,1078.2,463.485,1075.35,591.6030000000002,1017.96,680.4639999999998,952.623,659.645,913.295,649.119,908.132,816.5369999999998,908.177,955.256,994.329,672.701,991.688,840.057,991.719,955.256,991.865,379.685,1015.48,384.921,983.951,361.437,1054.54,369.333,0.0,0.0,0.0,0.0,994.375,955.276,892.4810000000001,955.275,0.0,0.0,910.796,955.28,0.12616697,3
817.4069999999998,288.494,790.0169999999998,351.2530000000001,743.076,349.153,727.297,423.682,729.258,494.298,837.0160000000002,355.1380000000001,846.819,439.312,854.795,517.674,776.346,507.952,746.9639999999998,507.867,731.295,615.638,758.7639999999999,698.023,805.75,509.867,790.06,621.515,780.207,715.618,805.6419999999998,274.743,821.403,274.807,776.2610000000002,278.738,0.0,0.0,776.265,715.643,784.158,715.6560000000002,782.185,715.63,752.801,715.6039999999998,748.8889999999999,715.607,762.564,715.591,0.2893681,3
417.766,265.007,355.088,333.525,312.021,331.62,286.507,417.85,335.4840000000001,490.294,398.229,335.406,400.148,404.1,409.987,472.625,355.164,507.966,331.601,507.959,347.219,629.37,317.886,715.64,382.571,509.83,347.2480000000001,625.455,327.6740000000001,715.638,411.866,253.219,0.0,0.0,374.686,259.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.016,715.6460000000002,0.1946716,0
